Date,Value
29/02/2021  9:00:00 PM,758
29/02/2021  8:45:00 PM,718
29/02/2021  8:15:00 PM,758
29/02/2021  7:45:00 PM,834
29/02/2021  7:30:00 PM,691
29/02/2021  6:45:00 PM,784
29/02/2021  6:30:00 PM,729
29/02/2021  6:15:00 PM,829
29/02/2021  5:45:00 PM,711
29/02/2021  5:30:00 PM,807
29/02/2021  5:00:00 PM,777
29/02/2021  4:45:00 PM,771
29/02/2021  4:30:00 PM,806
29/02/2021  4:15:00 PM,729
29/02/2021  4:00:00 PM,808
29/02/2021  3:45:00 PM,869
29/02/2021  3:30:00 PM,783
29/02/2021  3:15:00 PM,751
29/02/2021  3:00:00 PM,799
29/02/2021  2:45:00 PM,711
29/02/2021  2:30:00 PM,889
29/02/2021  2:00:00 PM,959
29/02/2021  12:45:00 PM,873
29/02/2021  12:30:00 PM,746
29/02/2021  12:15:00 PM,1117
29/02/2021  12:00:00 PM,738
29/02/2021  11:45:00 AM,858
29/02/2021  11:15:00 AM,738
29/02/2021  11:00:00 AM,822
29/02/2021  10:45:00 AM,800
29/02/2021  10:30:00 AM,761
29/02/2021  10:15:00 AM,744
29/02/2021  1:45:00 PM,776
29/02/2021  1:30:00 PM,751
29/02/2021  1:15:00 PM,849
29/02/2021  1:00:00 PM,707
30/12/2024 21:00,745
30/12/2024 20:45,858
30/12/2024 20:30,778
30/12/2024 20:15,886
30/12/2024 20:00,772
30/12/2024 19:45,754
30/12/2024 19:30,710
30/12/2024 19:15,758
30/12/2024 19:00,767
30/12/2024 18:45,795
30/12/2024 18:30,774
30/12/2024 18:15,733
30/12/2024 18:00,788
30/12/2024 17:45,695
30/12/2024 17:30,787
30/12/2024 17:15,648
30/12/2024 17:00,733
30/12/2024 16:45,779
30/12/2024 16:30,754
30/12/2024 16:15,797
30/12/2024 16:00,829
30/12/2024 15:45,795
30/12/2024 15:30,874
30/12/2024 15:15,673
30/12/2024 15:00,804
30/12/2024 14:45,747
30/12/2024 14:30,769
30/12/2024 14:15,878
30/12/2024 14:00,721
30/12/2024 13:45,877
30/12/2024 13:30,1082
30/12/2024 13:15,833
30/12/2024 13:00,748
30/12/2024 12:45,683
30/12/2024 12:30,791
30/12/2024 12:15,783
30/12/2024 12:00,819
30/12/2024 11:45,593
30/12/2024 11:30,921
30/12/2024 11:15,710
30/12/2024 11:00,741
30/12/2024 10:45,823
30/12/2024 10:30,760
30/12/2024 10:15,729
30/12/2024 10:00,671
30/12/2024 9:45,695
30/12/2024 9:30,750
29/12/2024 21:00,723
29/12/2024 20:45,740
29/12/2024 20:30,789
29/12/2024 20:15,850
29/12/2024 20:00,736
29/12/2024 19:45,724
29/12/2024 19:30,740
29/12/2024 19:15,744
29/12/2024 19:00,755
29/12/2024 18:45,817
29/12/2024 18:30,678
29/12/2024 18:15,777
29/12/2024 18:00,860
29/12/2024 17:45,879
29/12/2024 17:30,736
29/12/2024 17:15,706
29/12/2024 17:00,802
29/12/2024 16:45,734
29/12/2024 16:30,916
29/12/2024 16:15,750
29/12/2024 16:00,869
29/12/2024 15:45,844
29/12/2024 15:30,674
29/12/2024 15:15,769
29/12/2024 15:00,799
29/12/2024 14:45,774
29/12/2024 14:30,890
29/12/2024 14:15,942
29/12/2024 14:00,881
29/12/2024 13:45,914
29/12/2024 13:30,939
29/12/2024 13:15,901
29/12/2024 13:00,655
29/12/2024 12:45,776
29/12/2024 12:30,794
29/12/2024 12:15,842
29/12/2024 12:00,801
29/12/2024 11:45,1101
29/12/2024 11:30,773
29/12/2024 11:15,804
29/12/2024 11:00,639
29/12/2024 10:45,881
29/12/2024 10:30,758
29/12/2024 10:15,761
29/12/2024 10:00,720
28/12/2024 19:00,836
28/12/2024 18:45,765
28/12/2024 18:30,812
28/12/2024 18:15,830
28/12/2024 18:00,708
28/12/2024 17:45,928
28/12/2024 17:30,767
28/12/2024 17:15,936
28/12/2024 17:00,1011
28/12/2024 16:45,776
28/12/2024 16:30,761
28/12/2024 16:15,924
28/12/2024 16:00,956
28/12/2024 15:45,1025
